Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,Unnamed: 21
35.155995000000054,1204,,,,-0.125,0.0234375,-0.9609375,0.012665535762173,0.2586980931080544,22.20600128173828,0.166015625,673,0,3.686543181538582,0.8921780593037637,24.20093880282212,0.2899624020231306,0.0701736234648108,0.1328125,,
35.161995,1204,,,,0.0625,-0.0390625,-1.08984375,0.0066096291798244,,22.20400047302246,0.166015625,673,0,3.68621101602912,0.465562955280508,12.629850902622072,0.5556672629852718,0.0701799468297207,0.1328125,,
35.16699499999999,1204,,,,-0.0625,-0.078125,-1.0546875,,0.2713353348416704,22.20400047302246,0.1953125,673,0,4.336718842387199,,10.735088730612448,,0.0625669647267957,0.1328125,,
35.174,1204,,,,-0.125,0.01953125,-1.0234375,,,22.200000762939453,0.146484375,673,0,3.251953236758709,,14.315775395634189,,,0.1328125,,
35.179995000000055,1204,,,,0.0,-0.05859375,-0.978515625,0.0061108510201791,0.2925908315670892,22.200000762939453,0.146484375,673,0,3.251953236758709,0.430408350412739,13.23537944972838,0.6797982225170816,0.0899738742426446,0.1328125,,
35.186,1204,,,,-0.1875,0.015625,-0.96484375,,,22.20400047302246,0.15625,672,0,3.4693750739097595,,12.397099298185289,,,0.1328125,,
35.190994999999994,1204,,,,0.125,0.0234375,-1.17578125,0.0105103376736528,0.2859498320846277,22.20600128173828,0.185546875,672,0,4.120254144072533,0.7395250130716182,17.94852907642873,0.3866668835134252,0.0694010180163279,0.134765625,,
35.195995,1204,,,,-0.0625,-0.09375,-0.94921875,,,22.20400047302246,0.15625,672,0,3.4693750739097595,,21.312230253773905,,,0.134765625,,
35.20100000000006,1204,,,,-0.1875,0.1171875,-0.9609375,,,22.20800018310547,0.15625,672,0,3.470000028610229,,21.30644916563989,,,0.134765625,,
35.21,1204,,,,0.0625,-0.03125,-1.09375,0.0105103376736528,0.2859498320846277,22.200000762939453,0.15625,672,0,3.4687501192092896,0.7392851664337861,21.312724786365067,0.386792330034176,0.0824359847949528,0.134765625,,
35.217,1204,,,,-0.09375,-0.060546875,-0.94921875,0.0145558228295052,0.2686488463778915,22.20600128173828,0.17578125,672,0,3.903398662805557,1.0242136968584463,26.23902361339376,0.2622976505800631,0.0688243424730798,0.134765625,,
35.222995000000054,1204,,,,0.125,0.0234375,-1.10546875,,,22.20400047302246,0.1611328125,672,0,3.5777930449694395,,28.645995842047107,,,0.134765625,,
35.228995000000054,1204,,,,-0.125,0.00390625,-0.998046875,0.0136435150667739,,22.20800018310547,0.146484375,673,0,3.25312502682209,0.960871495250015,29.53687569114644,0.2795887355446944,0.0825817772642845,0.134765625,,
35.23399499999999,1204,,,,,,,,0.2567208375987131,22.20400047302246,0.1708984375,673,0,3.7946289870888,,25.324316190083923,,0.0676537386058568,,,
35.24000000000006,1204,,,,0.0,-0.0625,-0.99609375,0.0114415519642096,,22.20800018310547,0.166015625,673,0,3.686875030398369,0.8059188279252493,21.859130599231875,0.3185442859792879,0.0696310114886032,0.134765625,,
35.246,1204,,,,-0.125,0.109375,-0.99609375,,0.2567208375987131,22.20800018310547,0.1611328125,673,0,3.578437529504299,,22.52217341905884,,0.071741042139773,0.134765625,,
35.251,1204,,,,0.0625,-0.0234375,-1.11328125,,,22.20400047302246,0.166015625,672,0,3.68621101602912,,21.847720924497327,,,0.134765625,,
35.257000000000055,1204,,,,-0.0625,-0.11328125,-0.984375,0.0065698109003007,0.2636197399736973,22.20800018310547,0.166015625,672,0,3.686875030398369,0.4622315779604702,12.53721848854003,0.5703196244983547,0.0715022174063798,0.134765625,,
35.262995,1204,,,,-0.0625,0.0078125,-1.03515625,,,22.20199966430664,0.1806640625,672,0,4.011103454977274,,11.521289011385289,,,0.134765625,,
35.269000000000055,1204,,,,-0.03125,-0.08203125,-0.921875,0.0053362058257915,0.2724099302271819,22.20400047302246,0.146484375,672,0,3.2525391317904,0.3753172268096558,11.539207111800618,0.7258124881257745,0.0837530062481463,0.134765625,,
35.275,1204,,,,-0.125,0.01953125,-0.99609375,,,22.20800018310547,0.17578125,672,0,3.903750032186508,,9.61377766904205,,,0.134765625,,
35.28000000000006,1204,,,,0.125,0.01171875,-1.15625,0.0091323815348939,0.2724099302271819,22.20800018310547,0.146484375,672,0,3.25312502682209,0.6422336436983376,19.742052285205965,0.4241601680324538,0.0837379221459845,0.134765625,,
35.28600000000006,1204,,,,-0.0625,-0.10546875,-0.94921875,,,22.20800018310547,0.17578125,672,0,3.903750032186508,,16.45090926589952,,,0.134765625,,
35.291,1204,,,,-0.125,0.0625,-0.96484375,0.0091323815348939,0.2724099302271819,22.20400047302246,0.17578125,672,0,3.90304695814848,0.6421888717150634,16.45352665753486,0.4241897395382601,0.0697941718734553,0.134765625,,
35.29700000000006,1204,,,,0.0625,-0.0078125,-1.0859375,,,22.20400047302246,0.166015625,671,0,3.68621101602912,,17.421156637333457,,,0.134765625,,
35.30299500000005,1204,,,,-0.0625,-0.12109375,-0.93359375,0.0144475469824777,,22.20400047302246,0.1611328125,671,0,3.5777930449694395,1.015931730586786,28.395486206650155,0.2681380274143444,0.0761390965892239,0.134765625,,
35.30999500000005,1204,,,,0.0,0.0234375,-1.0546875,,0.268691830193312,22.20400047302246,0.17578125,671,0,3.90304695814848,,26.029108603735345,,0.0688415571409813,0.134765625,,
35.31700000000006,1204,,,,-0.0625,-0.04296875,-0.98046875,0.0132575795715164,,22.20199966430664,0.15625,672,0,3.4690624475479126,0.9331072808039024,26.897967243670237,0.2879538459520165,0.077453731161062,0.134765625,,
35.322995,1204,,,,-0.1875,0.03515625,-0.9765625,,0.2574945462762814,22.20400047302246,0.166015625,672,0,3.68621101602912,,25.322691986200702,,0.0698534471186245,0.134765625,,
35.32900000000006,1204,,,,0.0,-0.046875,-0.99609375,0.0093050882797453,,22.20400047302246,0.166015625,672,0,3.68621101602912,0.6552748847219951,17.776380187477002,0.3929565321056449,0.0698534471186245,0.134765625,,
35.335,1204,,,,-0.125,0.00390625,-0.96484375,,0.268691830193312,22.20400047302246,0.1611328125,673,0,3.5777930449694395,,18.31664041325595,,0.0750998805174341,0.134765625,,
35.34000000000006,1204,,,,0.0625,-0.02734375,-1.1015625,0.0064571054993994,0.2678966296080334,22.20400047302246,0.15625,673,0,3.4693750739097595,0.4547729442681234,13.108209247483408,0.5890777650353972,0.0772175460712385,0.134765625,,
35.34600000000006,1204,,,,0.0,-0.109375,-1.03125,,,22.20400047302246,0.17578125,672,0,3.90304695814848,,11.64225777978282,,,0.134765625,,
35.351,1204,,,,-0.1875,0.0546875,-1.02734375,0.0046170151840755,,22.20800018310547,0.1708984375,672,0,3.7953125312924394,0.3247966879036901,8.557837733407565,0.8248133050158168,0.0705861842468096,0.134765625,,
35.357000000000056,1204,,,,0.125,-0.05859375,-1.0390625,,0.2700243284713463,22.20400047302246,0.17578125,672,0,3.90304695814848,,8.319823783435517,,0.0691829566404806,0.134765625,,
35.36200000000006,1204,,,,0.0,-0.11328125,-1.00390625,,,22.20400047302246,0.17578125,672,0,3.90304695814848,,8.319048565757136,,,0.134765625,,
35.36799500000005,1204,,,,-0.1875,0.00390625,-1.046875,0.006781102822501,0.2700243284713463,22.200000762939453,0.17578125,672,0,3.9023438841104503,0.4768638952894971,12.219935235108052,0.5662503098654983,0.0691954211341625,0.13671875,,
35.375,1204,,,,0.0625,0.005859375,-1.109375,,,22.200000762939453,0.15625,672,0,3.4687501192092896,,13.746923527775362,,,0.13671875,,
35.380995,1204,,,,-0.125,0.0,-1.0078125,0.0077002113151643,0.2700243284713463,22.205331802368164,0.1595052033662796,671,0,3.54186596495245,0.5410540041244021,15.275959324216432,0.4990709363815387,0.0762378732406299,0.134765625,,
35.38600000000006,1204,,,,0.0,0.046875,-1.08984375,,,,,671,0,,,,,,0.134765625,,
