Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
1.52466,1000,,,,-0.0625,-0.01171875,-1.009765625,-8.22E-05,0.270168523,22.20149994,0.087890625,0,0,1.951303706,0,0,0,0,0.05859375,,0.002649448
1.547835,1000,,,,-0.0625,-0.015625,-1.01171875,-7.45E-05,0.591270456,22.20149803,0.068359375,0,0,1.51768053,0,0,0,0,0.05859375,,0.005798382
1.571505,1000,,,,-0.0625,-0.013671875,-1.01171875,3.44E-05,0.168301703,22.20249939,0.076904297,0,0,1.707467604,0,0,0,0,0.05859375,,0.001650476
1.597315,1000,,,,-0.0625,-0.01171875,-1.01171875,7.30E-05,-0.24359457,22.20457077,0.07114955,0,0,1.579845227,0,0,0,0,0.05859375,,-0.002388847
1.62137,1000,,,,-0.0625,-0.015625,-1.01171875,-0.000140743,-0.34546139,22.20133209,0.075954862,0,0,1.686299114,0,0,0,0,0.05859375,,-0.003387819
1.64709,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.000276616,-0.296742476,22.19950104,0.076904297,0,0,1.707237018,0,0,0,0,0.05859375,,-0.00291005
1.670855,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000126775,0.24359457,22.20349884,0.069580078,0,0,1.544921184,0,0,0,0,0.05859375,,0.002388847
1.70019,1000,,,,-0.0625,-0.01171875,-1.01171875,-6.01E-05,-0.252452554,22.20199966,0.080566406,0,0,1.788735325,0,0,0,0,0.05859375,,-0.002475714
1.72351,1000,,,,-0.0625,-0.013671875,-1.009765625,-2.74E-05,-0.304133357,22.20399857,0.083984375,0,0,1.864788942,0,0,0,0,0.05859375,,-0.002982529
1.74719,1000,,,,-0.0625,-0.01171875,-1.013671875,-9.22E-05,-0.088579844,22.20114136,0.076729909,0,0,1.703491547,0,0,0,0,0.05859375,,-0.000868672
1.772305,1000,,,,-0.0625,-0.015625,-1.009765625,-4.43E-05,-0.001107248,22.20199776,0.076904297,0,0,1.707429027,0,0,0,0,0.05859375,,-1.08584E-05
1.797265,1000,,,,-0.0625,-0.013671875,-1.009765625,-7.32E-05,0.053147906,22.20249748,0.075683594,0,0,1.6803648,0,0,0,0,0.05859375,,0.000521203
1.82088,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000127677,0.170516199,22.20249748,0.078125,0,0,1.734570116,0,0,0,0,0.05859375,,0.001672193
1.84923,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.000152046,-0.150585734,22.20249939,0.079345703,0,0,1.761672925,0,0,0,0,0.05859375,,-0.001476742
1.87287,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000108241,-0.6798503,22.2017746,0.075954862,0,0,1.686332724,0,0,0,0,0.05859375,,-0.006667054
1.897115,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.000160801,-0.233629338,22.20199966,0.081787109,0,0,1.815837375,0,0,0,0,0.05859375,,-0.002291121
1.92078,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.000209462,-0.267954027,22.20049858,0.079345703,0,0,1.76151417,0,0,0,0,0.05859375,,-0.002627731
1.95488,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000110628,-0.267954027,22.20285606,0.079520091,0,0,1.765573144,0,0,0,0,0.05859375,,-0.002627731
1.978785,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000119817,-0.143942246,22.20066643,0.082194008,0,0,1.824761752,0,0,0,0,0.05859375,,-0.001411591
2.00276,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000166145,-0.344354142,22.20199966,0.076904297,0,0,1.707429173,0,0,0,0,0.05859375,,-0.003376961
2.02842,1000,,,,-0.0625,-0.013671875,-1.01171875,-3.84E-05,-0.341032398,22.20099831,0.080566406,0,0,1.788654649,0,0,0,0,0.05859375,,-0.003344385
2.051075,1000,,,,-0.0625,-0.013671875,-1.009765625,-9.06E-05,0.509334101,22.20149994,0.078125,0,0,1.734492183,0,0,0,0,0.05859375,,0.004994861
2.074805,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.000176158,0.262417787,22.20249939,0.076904297,0,0,1.707467604,0,0,0,0,0.05859375,,0.002573439
2.097155,1000,,,,-0.0625,-0.013671875,-1.01171875,-2.80E-05,-0.235843834,22.20285606,0.072544642,0,0,1.61069824,0,0,0,0,0.05859375,,-0.002312838
2.12551,1000,,,,-0.0625,-0.01171875,-1.01171875,3.68E-05,-0.894656421,22.20171547,0.080915175,0,0,1.796455701,0,0,0,0,0.05859375,,-0.008773582
2.14801,1000,,,,-0.0625,-0.015625,-1.009765625,-0.00010055,-0.434041234,22.2023983,0.078125,0,0,1.734562367,0,0,0,0,0.05859375,,-0.00425649
2.1711,1000,,,,-0.0625,-0.015625,-1.01171875,-3.43E-05,0.098545076,22.20114136,0.075334825,0,0,1.672519091,0,0,0,0,0.05859375,,0.000966397
2.19526,1000,,,,-0.0625,-0.013671875,-1.01171875,1.43E-05,0.048718914,22.20400047,0.076729909,0,0,1.703710927,0,0,0,0,0.05859375,,0.000477769
2.21795,1000,,,,-0.0625,-0.013671875,-1.013671875,-4.70E-05,-0.006643488,22.20249939,0.070800781,0,0,1.571954302,0,0,0,0,0.05859375,,-6.51504E-05
2.24106,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.000107489,-0.166087207,22.20249939,0.078125,0,0,1.734570265,0,0,0,0,0.05859375,,-0.001628759
2.26526,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.000140223,-0.48718914,22.20285606,0.072544642,0,0,1.61069824,0,0,0,0,0.05859375,,-0.004777693
2.29146,1000,,,,-0.0625,-0.015625,-1.009765625,-0.000106663,-0.058684146,22.20199966,0.081787109,0,0,1.815837375,0,0,0,0,0.05859375,,-0.000575495
2.321715,1017,,,,-0.0625,-0.015625,-1.0078125,6.87E-05,0.418539761,22.20044327,0.080295138,0,0,1.782587657,0,0,0,0,0.05859375,,0.004104473
2.34657,1017,,,,-0.0625,-0.013671875,-1.009765625,-9.10E-05,0.120690037,22.20266533,0.080295138,0,0,1.782766078,0,0,0,0,0.05859375,,0.001183565
2.37871,1017,,,,-0.0625,-0.013671875,-1.009765625,-0.000325183,-0.24359457,22.19999886,0.080566406,0,0,1.788574127,0,0,0,0,0.05859375,,-0.002388847
2.401155,1017,,,,-0.0625,-0.013671875,-1.009765625,-0.000282586,0.091541732,22.20066643,0.076497398,0,0,1.698293223,0,0,0,0,0.05859375,,0.000897718
2.42335,1017,,,,-0.0625,-0.013671875,-1.01171875,-0.000116871,-0.099652324,22.20228577,0.07114955,0,0,1.57968265,0,0,0,0,0.05859375,,-0.000977255
