Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Thrust (N)
2.6698,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001286274,-5.543990965,22.20099831,0.081787109,0,0,1.815755477,0,0,0,0,0.05859375,,-0.054367979
2.693845,1000,,,,-0.0625,-0.013671875,-1.0078125,-0.001232909,-5.365724029,22.20049858,0.070800781,0,0,1.571812644,0,0,0,0,0.05859375,,-0.052619778
2.720225,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001306784,-5.22953252,22.19999886,0.075683594,0,0,1.680175695,0,0,0,0,0.05859375,,-0.051284195
2.742835,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001262612,-5.313683371,22.19949913,0.080566406,0,0,1.788533865,0,0,0,0,0.05859375,,-0.052109433
2.769,1000,,,,-0.0625,-0.013671875,-1.01171875,-0.001271103,-5.557277941,22.19949913,0.080566406,0,0,1.788533865,0,0,0,0,0.05859375,,-0.05449828
2.79199,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001305866,-5.56392143,22.20149803,0.081787109,0,0,1.815796348,0,0,0,0,0.05859375,,-0.05456343
2.82112,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.00121667,-5.051265585,22.20099831,0.080566406,0,0,1.788654649,0,0,0,0,0.05859375,,-0.049535994
2.843675,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001220191,-5.323648604,22.19911003,0.073784724,0,0,1.637955204,0,0,0,0,0.05859375,,-0.052207159
2.86668,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001457945,-5.583851895,22.19949913,0.079345703,0,0,1.761434868,0,0,0,0,0.05859375,,-0.054758881
2.895035,1000,,,,-0.0625,-0.01171875,-1.01171875,-0.001416997,-5.550634453,22.19950104,0.069580078,0,0,1.544643017,0,0,0,0,0.05859375,,-0.054433129
2.918135,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001336395,-5.406692207,22.19949913,0.078125,0,0,1.73433587,0,0,0,0,0.05859375,,-0.053021538
2.9426,1000,,,,-0.0625,-0.013671875,-1.009765625,-0.001358075,-5.149810661,22.19849968,0.075683594,0,0,1.680062232,0,0,0,0,0.05859375,,-0.050502391
2.967565,1000,,,,-0.0625,-0.01171875,-1.009765625,-0.001393532,-4.791062294,22.19849968,0.085449219,0,0,1.896844455,0,0,0,0,0.05859375,,-0.046984271
2.989655,1000,,,,-0.0625,-0.01171875,-1.0078125,-0.001375109,-5.169741125,22.20149994,0.079345703,0,0,1.761593623,0,0,0,0,0.05859375,,-0.050697842
3.01877,1022,,,,-0.0625,-0.01171875,-1.0078125,-0.001368995,-4.872998649,22.20057297,0.076729909,0,0,1.703447934,0,0,0,0,0.05859375,,-0.047787792
3.047225,1022,,,,-0.0625,-0.013671875,-1.0078125,-0.001322261,-5.160883141,22.19919968,0.076171875,0,0,1.690954663,0,0,0,0,0.05859375,,-0.050610975
3.074515,1022,,,,-0.0625,-0.015625,-1.009765625,-0.001276411,-5.099984499,22.19999886,0.083984375,0,0,1.864453029,0,0,0,0,0.05859375,,-0.050013763
3.100045,1022,,,,-0.0625,-0.013671875,-1.009765625,-0.001297532,-5.151277764,22.20199966,0.070800781,0,0,1.571918922,0,0,0,0,0.05859375,,-0.050516778
3.122875,1022,,,,-0.0625,-0.013671875,-1.009765625,-0.001430221,-5.207387559,22.20088959,0.071614586,0,0,1.589907513,0,0,0,0,0.05859375,,-0.051067027
3.151725,1022,,,,-0.0625,-0.015625,-1.009765625,-0.001336712,-5.074517793,22.20228577,0.073939733,0,0,1.641631086,0,0,0,0,0.05859375,,-0.04976402
3.17504,1022,,,,-0.0625,-0.01171875,-1.009765625,-0.001345694,-5.180813606,22.19839859,0.0703125,0,0,1.560824901,0,0,0,0,0.05859375,,-0.050806426
3.202405,1022,,,,-0.0625,-0.015625,-1.009765625,-0.001331432,-5.22399628,22.20050049,0.086669922,0,0,1.924115643,0,0,0,0,0.05859375,,-0.051229903
3.225895,1022,,,,-0.0625,-0.013671875,-1.01171875,-0.001315661,-5.780942047,22.19955444,0.072699651,0,0,1.613899863,0,0,0,0,0.05859375,,-0.056691675
3.250365,1022,,,,-0.0625,-0.015625,-1.01171875,-0.001474354,-6.175122351,22.19885635,0.078125,0,0,1.734285653,0,0,0,0,0.05859375,,-0.060557264
3.27416,1022,,,,-0.0625,-0.013671875,-1.009765625,-0.001458617,-6.175122351,22.20099831,0.081787109,0,0,1.815755477,0,0,0,0,0.05859375,,-0.060557264
3.310995,1022,,,,-0.0625,-0.01171875,-1.009765625,-0.001368618,-5.890559603,22.20100021,0.073242188,0,0,1.62604982,0,0,0,0,0.05859375,,-0.057766656
3.335075,1027,,,,-0.0625,-0.01171875,-1.009765625,-0.001369603,-5.208134951,22.20199776,0.070800781,0,0,1.571918787,0,0,0,0,0.05859375,,-0.051074357
