rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
3164,10.0,0.6470204142856111,18.588568292872885,6.759095523492624,0.3658707571884472,18.292012974571936,0.5611151355907527,refine
3165,7.656110328529449,0.5091422705351416,18.29193031629304,4.810607491417379,0.419722506976095,16.50564676261638,0.5611120178282469,coarse
3166,9.011542292242622,0.6035150080666466,19.8498276009355,7.611125441031418,0.4299300376170238,17.616785176952448,0.5611043046281747,refine
3167,8.99530800187338,0.7821318558875169,17.760809144655237,3.1808550826740483,0.31047550055371287,17.654825715851764,0.5610932396454873,coarse
3168,9.878926946849482,0.5116668333053546,18.608598892979085,6.309874519671962,0.3778828865660828,18.16525743024929,0.5610563715074608,refine
3169,9.16438407752491,0.5249414279226056,17.899389715020735,8.0,0.4226061248910532,17.693835894093045,0.5610453173653371,refine
3170,8.575460480322658,0.6021828468745984,10.43928143573385,7.073430664700232,0.34468209953718704,17.29458285226796,0.56103892111778,coarse
3171,9.877415554794347,0.5786287294685111,12.523176168092263,3.3634674407998375,0.25943210193435384,18.19138775454355,0.561031797810429,coarse
3172,8.073217103380662,0.9619375195602108,16.726428649248128,6.908743403194033,0.3754667271446621,16.970579500157438,0.5610188627871554,coarse
3173,9.344155450398903,0.5205327652655974,18.64919021334993,7.240494520563628,0.41097216757265487,17.816375349322183,0.5610106133096664,refine
3174,9.155860158335702,0.5,18.970878647486206,7.336551825251026,0.4242135987056439,17.676770344801437,0.560995602806929,refine
3175,9.555745063906809,0.5,19.289919224312115,6.43171531052008,0.3982979365070391,17.949919686128354,0.560992213705169,refine
3176,7.91567363124002,0.5384371223369001,19.99122996171992,3.299453566915011,0.3972168563965057,16.741399908398154,0.5609670633532183,coarse
3177,9.180109629184619,0.5870927068099907,15.060257294933985,3.264895407407587,0.3032547984248502,17.729898835843013,0.5609657544303398,coarse
3178,7.2578027669768055,0.5842463596527022,15.836815851150305,7.640541268071284,0.45068009638294826,16.17864810393404,0.5609236937254054,coarse
3179,10.0,0.5521462527632823,19.438808900610905,5.851160884621163,0.3689736185199449,18.258493061696033,0.560784033244525,refine
3180,9.350867432748164,0.9596346306640353,14.18378689695962,5.464515509693861,0.2847411762558647,17.92328519733429,0.5607679187700658,coarse
3181,8.336911440244872,0.9387264573764778,18.959781507240482,4.90273795210466,0.35528776901152653,17.180964149034864,0.5607463859090702,coarse
3182,9.812593519650104,0.7972843525584876,14.415632280464804,3.5662879153664484,0.2574252116116358,18.210272289795927,0.5607128505824492,coarse
