rank,filename,AR,lambda,aoaRoot (deg),aoaTip (deg),pred_eta_mean,pred_LD,exploit_score,explore_score,composite_score
15,Prop_002_PLA_01.csv,9.900966746554058,0.4853193793900746,16.5350947525659,2.396800688336688,0.29071982706286625,18.167468874533537,0.5747886386851373,0.6256584263287414,0.5951365537425789
16,Prop_002_PCF_01.csv,9.900966746554058,0.4853193793900746,16.5350947525659,2.396800688336688,0.29071982706286625,18.167468874533537,0.5747886386851373,0.6256584263287414,0.5951365537425789
17,Prop_005_PCF_01.csv,10.41350993841488,0.549863423144281,18.938722171266853,2.743540901186699,0.2957957267996835,18.50948727747517,0.6067219375449489,0.5619886572622206,0.5888286254318575
18,Prop_005_PLA_01.csv,10.41350993841488,0.549863423144281,18.938722171266853,2.743540901186699,0.2957957267996835,18.50948727747517,0.6067219375449489,0.5619886572622206,0.5888286254318575
19,Prop_021_PLA_01.csv,8.537771629883784,0.4567163852535926,11.374489087001146,5.873445670735245,0.35055803504793953,17.202335044039412,0.5847818191138824,0.5900003147684664,0.586869217375716
20,Prop_021_PCF_01.csv,8.537771629883784,0.4567163852535926,11.374489087001146,5.873445670735245,0.35055803504793953,17.202335044039412,0.5847818191138824,0.5900003147684664,0.586869217375716
21,Prop_023_PLA_01.csv,9.239542962238357,0.4998480177682929,12.960437608860389,5.19270025486624,0.3259633175749004,17.7351113185781,0.590654268953282,0.5648247211755241,0.5803224498421788
22,Prop_023_PCF_01.csv,9.239542962238357,0.4998480177682929,12.960437608860389,5.19270025486624,0.3259633175749004,17.7351113185781,0.590654268953282,0.5648247211755241,0.5803224498421788
23,Prop_006_PCF_01.csv,9.633172133448264,0.8538881867610946,16.132589046087087,4.725497733064214,0.2935655331337923,18.10290199665236,0.5738948488201066,0.5506772742995293,0.5646078190118756
24,Prop_006_PLA_01.csv,9.633172133448264,0.8538881867610946,16.132589046087087,4.725497733064214,0.2935655331337923,18.10290199665236,0.5738948488201066,0.5506772742995293,0.5646078190118756
25,Prop_012_PLA_01.csv,8.1555032549663,0.6949119986793421,11.353612724843934,4.454316559143352,0.3092515932262338,16.99517660869649,0.5138337106074313,0.44821472367702336,0.4875861158352682
26,Prop_012_PCF_01.csv,8.1555032549663,0.6949119986793421,11.353612724843934,4.454316559143352,0.3092515932262338,16.99517660869649,0.5138337106074313,0.44821472367702336,0.4875861158352682
27,Prop_010_PCF_01.csv,7.336912128634519,0.6236033104266543,19.517441327613493,2.2011567975467714,0.3816415615862777,16.26664771652167,0.5581208096037699,0.0,0.3348724857622619
28,Prop_010_PLA_01.csv,7.336912128634519,0.6236033104266543,19.517441327613493,2.2011567975467714,0.3816415615862777,16.26664771652167,0.5581208096037699,0.0,0.3348724857622619
29,Prop_010_PLA_02.csv,7.336912128634519,0.6236033104266543,19.517441327613493,2.2011567975467714,0.3816415615862777,16.26664771652167,0.5581208096037699,0.0,0.3348724857622619
30,Prop_013_PCF_01.csv,6.724337296287162,0.7510348799873281,13.768786745639218,6.5733023227898535,0.4093750634822812,15.71313159033412,0.5549642060051002,0.0,0.33297852360306013
31,Prop_013_PLA_01.csv,6.724337296287162,0.7510348799873281,13.768786745639218,6.5733023227898535,0.4093750634822812,15.71313159033412,0.5549642060051002,0.0,0.33297852360306013
32,Prop_013_PLA_02.csv,6.724337296287162,0.7510348799873281,13.768786745639218,6.5733023227898535,0.4093750634822812,15.71313159033412,0.5549642060051002,0.0,0.33297852360306013
33,Prop_016_PLA_01.csv,5.352551316665602,0.788405890010398,19.83318612126738,5.83445295275405,0.4936705193547835,14.147627310131325,0.5539423922100094,0.0,0.33236543532600565
