k_id,AR,lambda,twist,alpha,v,predicted_performance,model_uncertainty_std,pred_std,95_conf_lower,95_conf_upper
CR_101,18.925,0.5126,-3.2208,6.507537688442211,22.624,4.811251687893285,0.3202358209624575,0.3202358209624575,2.4968688147122413,7.125634561074328
CR_101,18.925,0.5126,-3.2208,6.557788944723618,22.624,4.835133779356698,0.3197471453591653,0.3197471453591653,2.524282623656234,7.145984935057163
CR_101,18.925,0.5126,-3.2208,6.608040201005025,22.624,4.8586096227686,0.3192737216407638,0.3192737216407638,2.551179957338441,7.166039288198759
CR_101,18.925,0.5126,-3.2208,6.658291457286432,22.624,4.8816782163211485,0.3188155596666411,0.3188155596666411,2.5775597426960335,7.1857966899462635
CR_101,18.925,0.5126,-3.2208,6.708542713567839,22.624,4.904338666665532,0.31837267007657816,0.31837267007657816,2.60342100948522,7.205256323845843
CR_101,18.925,0.5126,-3.2208,6.758793969849246,22.624,4.926590188785532,0.3179450636479504,0.3179450636479504,2.628762894800393,7.224417482770671
CR_101,18.925,0.5126,-3.2208,6.809045226130653,22.624,4.9484321058287675,0.31753275065965836,0.31753275065965836,2.6535846475023166,7.243279564155218
CR_101,18.925,0.5126,-3.2208,6.85929648241206,22.624,4.969863848896972,0.31713574026465974,0.31713574026465974,2.677885632543197,7.2618420652507485
CR_101,18.925,0.5126,-3.2208,6.909547738693467,22.624,4.990884956795808,0.31675403987197615,0.31675403987197615,2.701665335182803,7.280104578408814
CR_101,18.925,0.5126,-3.2208,6.959798994974874,22.624,5.0114950757431185,0.31638765454006007,0.31638765454006007,2.7249233650809335,7.298066786405304
CR_101,18.925,0.5126,-3.2208,7.010050251256281,22.624,5.031693959036989,0.31603658638223264,0.31603658638223264,2.747659460262447,7.315728457811531
CR_101,18.925,0.5126,-3.2208,7.060301507537689,22.624,5.051481466682364,0.3157008339861889,0.3157008339861889,2.7698734909391853,7.333089442425543
CR_101,18.925,0.5126,-3.2208,7.110552763819095,22.624,5.070857564978739,0.31538039184784683,0.31538039184784683,2.7915654631893094,7.350149666768168
CR_101,18.925,0.5126,-3.2208,7.160804020100503,22.624,5.08982232606713,0.31507524982199575,0.31507524982199575,2.8127355224744948,7.366909129659764
CR_101,18.925,0.5126,-3.2208,7.211055276381909,22.624,5.10837592743608,0.31478539258976734,0.31478539258976734,2.8333839569945924,7.383367897877567
CR_101,18.925,0.5126,-3.2208,7.261306532663317,22.624,5.126518651389842,0.3145107991449977,0.3145107991449977,2.853511200867934,7.399526101911751
CR_101,18.925,0.5126,-3.2208,7.311557788944723,22.624,5.144250884476399,0.3142514423001452,0.3142514423001452,2.873117837130141,7.4153839318226575
CR_101,18.925,0.5126,-3.2208,7.361809045226131,22.624,5.161573116876371,0.31400728821279345,0.31400728821279345,2.892204600545056,7.430941633207687
CR_101,18.925,0.5126,-3.2208,7.4120603015075375,22.624,5.17848594175298,0.31377829593415724,0.31377829593415724,2.910772380217707,7.446199503288253
CR_101,18.925,0.5126,-3.2208,7.462311557788945,22.624,5.194990054564774,0.313564416980106,0.313564416980106,2.928822222007297,7.461157887122251
CR_101,18.925,0.5126,-3.2208,7.5125628140703515,22.624,5.211086252339135,0.31336559492611477,0.31336559492611477,2.9463553307280512,7.475817173950219
CR_101,18.925,0.5126,-3.2208,7.5628140703517595,22.624,5.226775432908629,0.31318176502630324,0.31318176502630324,2.963373072138814,7.490177793678444
CR_101,18.925,0.5126,-3.2208,7.613065326633166,22.624,5.242058594109712,0.31301285385828714,0.31301285385828714,2.9798769747084624,7.504240213510961
CR_101,18.925,0.5126,-3.2208,7.6633165829145735,22.624,5.256936832945915,0.31285877899357767,0.31285877899357767,2.9958687311611514,7.51800493473068
CR_101,18.925,0.5126,-3.2208,7.71356783919598,22.624,5.271411344712109,0.3127194486951545,0.3127194486951545,3.0113501997862517,7.531472489637967
CR_101,18.925,0.5126,-3.2208,7.763819095477388,22.624,5.28548342208582,0.3125947616417139,0.3125947616417139,3.026323405522564,7.544643438649075
CR_101,18.925,0.5126,-3.2208,7.814070351758794,22.624,5.299154454180327,0.3124846066803303,0.3124846066803303,3.0407905407989575,7.557518367561697
CR_101,18.925,0.5126,-3.2208,7.864321608040202,22.624,5.312425925563947,0.3123888626066752,0.3123888626066752,3.054753966142038,7.570097884985857
CR_101,18.925,0.5126,-3.2208,7.914572864321608,22.624,5.325299415245279,0.3123073979743433,0.3123073979743433,3.068216210539417,7.582382619951142
CR_101,18.925,0.5126,-3.2208,7.964824120603016,22.624,5.337776595622929,0.312240070932504,0.312240070932504,3.08117997156275,7.594373219683107
CR_101,18.925,0.5126,-3.2208,8.015075376884422,22.624,5.349859231402506,0.31218672909288964,0.31218672909288964,3.093648115246023,7.60607034755899
CR_101,18.925,0.5126,-3.2208,8.06532663316583,22.624,5.3615491784813605,0.31214720942565394,0.31214720942565394,3.1056236757229323,7.617474681239789
CR_101,18.925,0.5126,-3.2208,8.115577889447236,22.624,5.372848382799002,0.3121213381843789,0.3121213381843789,3.1171098546192915,7.628586910978711
CR_101,18.925,0.5126,-3.2208,8.165829145728644,22.624,5.383758879157147,0.31210893086019037,0.31210893086019037,3.128110020204689,7.639407738109606
CR_101,18.925,0.5126,-3.2208,8.21608040201005,22.624,5.394282790007884,0.31210979216472934,0.31210979216472934,3.138627706303717,7.64993787371205
CR_101,18.925,0.5126,-3.2208,8.266331658291458,22.624,5.404422324211203,0.31212371604168265,0.31212371604168265,3.1486666109701775,7.660178037452228
