Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Airspeed (m/s),Airspeed Pressure (mm H2O),Electrical forward flight efficiency (%),Vibration (g),App message,
31.26499999999907,1185.7894736842106,,,,-0.08203125,-0.009765625,-1.029296875,0.0027089028034499698,0.1882906034493366,22.20400047302246,0.1318359375,533,0,2.9272852186113596,0.1512159928162605,5.165741686353135,0,0.06432260247556525,1.8026781334395319,0.19613053365761973,11.59925587290445,0.1015625,,
31.28,1185.7894736842106,,,,-0.041015625,-0.07421875,-0.96875,0.00010240866283664503,0.30157444898996594,22.204999923706055,0.126953125,533,0,2.8189941309392452,0.005716555560235308,0.20278706853251374,0,0.10697945259271824,1.755816639561133,0.18606604907007893,18.79004682120539,0.1015625,,
31.295,1185.7894736842106,,,,-0.09375,-0.01953125,-1.03125,-0.004363583174040912,0.3125030840606185,22.20400047302246,0.126953125,533,0,2.8188672475516796,0.24378086869494167,8.648185504538285,0,0.11086122779710265,1.7182670859994822,0.1781927966910618,19.055427033043614,0.1015625,,
31.311,1185.7894736842106,,,,-0.03125,-0.06640625,-1,0.0039016879263156497,0.28928107777971357,22.206401824951172,0.123046875,535,0,2.7324283495545387,0.21856821364433787,7.999046477466483,0,0.10586959318690804,1.699042309382112,0.17422768876676167,17.993836441838397,0.103515625,,
31.326,1185.7894736842106,,,,-0.046875,-0.029296875,-1.013671875,0.012554621771937814,0.10990961603012298,22.20400047302246,0.1236979141831398,535,0,2.746588545034328,0.7037005917947883,25.62089589527481,0.15618803978805604,0.04001677507496824,1.729827577362385,0.18059861198776014,6.924576749747765,0.103515625,,
31.343,1185.7894736842106,,,,-0.03125,-0.017578125,-1.060546875,0.010906901526682649,0.10990961603012298,22.20400047302246,0.140625,534,0,3.1224375665187836,0.6099004905257465,19.532832203454646,0.18020909597134227,0.03519994033144483,1.7689215469026423,0.1888538778175098,6.228720306980663,0.103515625,,
31.35799999999907,1185.7894736842106,,,,-0.041015625,-0.03515625,-1.01953125,0.008012402581717534,0.13201404311009587,22.20400047302246,0.134765625,532,0,2.9923360012471676,0.44664364633660786,14.926253139702641,0.295569060912164,0.044117386234391494,1.8113571025528759,0.19802357903764842,7.993963911799999,0.1015625,,
31.374,1185.7894736842106,,,,-0.0625,-0.01171875,-1.05859375,0.0029423811145685994,0.19755361567244628,22.205001831054688,0.13916015625,532,0,3.0900515243411064,0.16391588973373297,5.304632898271327,0,0.06393214291615114,1.8400249212486033,0.2043412973437948,11.767692118007922,0.1015625,,
31.38999999999907,1185.7894736842106,,,,-0.03125,-0.0546875,-1.02734375,-0.005131133466933637,0.30920407622709795,22.205001831054688,0.14404296875,534,0,3.198474384844303,0.28677001199711444,8.965837380344503,0,0.09667236282780159,1.8958992324890385,0.21693979482958656,18.334366766608387,0.1015625,,
31.406,1185.7894736842106,,,,-0.0625,0,-1.076171875,-0.0005268579075884126,0.3233779893619955,22.206401824951172,0.140625,534,0,3.1227752566337585,0.029465577849701448,0.9435702357096393,0,0.10355467902310254,1.903183334733348,0.21860996945680167,19.715086348358668,0.1015625,,
31.422,1185.7894736842106,,,,-0.041015625,-0.0625,-1.029296875,0.006999778284779955,0.29231143676685617,22.204801559448242,0.119140625,534,0,2.6454939357936382,0.3915044540044652,14.798917083399601,0.746636299477508,0.11049408687423955,1.8538963519708098,0.20743383614349292,20.491455989230133,0.1015625,,
31.43899999999907,1185.7894736842106,,,,-0.0625,0,-1.07421875,0.013318194266510019,0.11285400738642466,22.204999923706055,0.13427734375,534,0,2.9816284077242017,0.7448521953179826,24.981389142536,0.1515119484050745,0.03784978942851002,1.8321934068535948,0.20260554107027737,6.937182410388819,0.1015625,,
31.454,1185.7894736842106,,,,-0.09375,-0.033203125,-1.052734375,0.010986512530259415,0.11285400738642466,22.206401824951172,0.130859375,534,0,2.9059158638119698,0.6141941442557506,21.135991991524936,0.1837432161180492,0.03883595144368123,1.785545571294823,0.19242015212445132,6.936704893881209,0.1015625,,
31.46900499999989,1185.7894736842106,,,,-0.03125,-0.091796875,-0.9609375,0.007731263294500065,0.14097616862526233,22.20599937438965,0.13427734375,533,0,2.9817626113072038,0.43148030042537694,14.47064561039003,0.3267267786878805,0.04727947425816652,1.7669582657151128,0.18843485988861194,8.356939556407742,0.1015625,,
31.485,1185.7894736842106,,,,-0.041015625,-0.00390625,-1.0390625,0.0037482935269321127,0.18485189821569958,22.204999923706055,0.1318359375,533,0,2.927416982129216,0.2091095275259713,7.143141165146838,0.8839955807022761,0.06314505222322311,1.7166589766717086,0.1778593545140133,10.843554988394997,0.1015625,,
31.503,1185.7894736842106,,,,-0.041015625,-0.0625,-0.994140625,-0.004369923335507433,0.3192837809431965,22.20400047302246,0.130859375,533,0,2.9056016243994236,0.24401612125891095,8.398127231545313,0,0.10988560106177361,1.6764740422085944,0.16962986249223916,18.42832878370359,0.1015625,,
31.523004999999888,1185.7894736842106,,,,-0.078125,0,-1.044921875,-0.0012699538061800542,0.3192837809431965,22.203001022338867,0.13427734375,534,0,2.9813600005581975,0.07100471801455584,2.381621743139429,0,0.1070933335402022,1.6209583541513877,0.15858143472934907,17.36531336783987,0.1015625,,
31.539,1185.7894736842106,,,,-0.078125,-0.021484375,-1.05078125,0.00356010484530478,0.3229696431155012,22.20400047302246,0.13671875,534,0,3.0357031896710396,0.19912764932977575,6.559523012898833,0,0.106390388959765,1.5933459036247137,0.1532246913470693,16.957459767624254,0.1015625,,
31.55499999999907,1185.7894736842106,,,,-0.041015625,-0.015625,-1.021484375,0.020146119698461636,0.10741655473573614,22.20400047302246,0.125,535,0,2.7755000591278076,1.1279802512066435,40.64061348141739,0.0952291093933857,0.038701694270362026,1.5740824603638996,0.14954213180043915,6.094046841500399,0.1015625,,
31.57,1185.7894736842106,,,,-0.0625,0.0078125,-1.048828125,0.02193573528611732,0.08293727185378266,22.20400047302246,0.13427734375,535,0,2.9814942041411996,1.228429890627045,41.20182051404947,0.06751485981137093,0.02781735135979317,1.5678526944897924,0.14836078141621062,4.362840774545014,0.1015625,,
31.585999999999068,1185.7894736842106,,,,-0.041015625,-0.0546875,-0.978515625,0.008669963106453621,0.16458502924495144,22.203001022338867,0.12939453125,533,0,2.8729469096288085,0.48421821431224354,16.854408714945787,0.3398984680465166,0.05728787702039931,1.526937385741979,0.14071845104565708,8.750488280845147,0.1015625,,
31.601,1185.7894736842106,,,,-0.08203125,-0.0078125,-1.03125,0.0030905037605582584,0.20739690940373223,22.20600128173828,0.13916015625,533,0,3.0901906080543995,0.17234960387362824,5.57731304419893,0,0.06711460091269596,1.510464090028587,0.13769855708432654,10.140882422385102,0.1015625,,
